id,category
923,6. System Architecture
6119,8. Others
6278,2. Data Management
5267,6. System Architecture
1278,6. System Architecture
1373,2. Data Management
6696,2. Data Management
3623,8. Others
5074,5. Model Deployment
4667,5. Model Deployment
1303,8. Others
860,6. System Architecture
2201,8. Others
382,5. Model Deployment
1787,6. System Architecture
624,5. Model Deployment
1460,8. Others
1750,5. Model Deployment
1119,6. System Architecture
1244,6. System Architecture
4672,8. Others
4266,8. Others
1365,5. Model Deployment
619,5. Model Deployment
2836,5. Model Deployment
414,6. System Architecture
2452,5. Model Deployment
2634,2. Data Management
5775,8. Others
4530,5. Model Deployment
